,score,comment
0,9.5, استاد خیلی محترم و خوبیه و به دنبال اینه که با نمره بالا پاس کنه دانشجورو
1,1.0, اصلا استاد خوبی نیست
2,10.0, واقعا استاد نازنینیه باهاشون بردارید حتماااااااا
3,8.166666666666666, حتما باهاشون بردارید پشیمون نمیشید
4,9.5, به حضور وغیاب به شدت حساس  غیبت  با دلیل موجه هم باشه باز قبول نمیکنه سر کلاس 
5,7.333333333333333, با برنامه کامپیتوتر خود تدریس میکنه چون بدون برنامه  امتحان میدیم و باید روی کاغذ شکل هارو رسم کنیم یادگیری خیلی دشوار میشه
6,2.5, به مطالب درسی تاریخ نمایش نمیپردازن و به مطالب غیر عنوان درسی میپردازن ، نمرده دهی دلخواه
7,9.666666666666666, استاد خوبی هستند ، تحقیق زیاد میدن به بچه ها برای اینکه به نمره پایان; ترم کمک بشه بهشون .
8,6.666666666666667, کلا سعی کنید اگه کلاس مجازی بود ، باهاشون بر ندارید و امتحانشون مو به موی کتاب رو باید باد باشی
9,10.0, یکی از بهترین اساتید هستند بی شک ، حتما باهاشون بردارید از هر لحاظ عالین
10,9.333333333333334, سوال دادنشون عینا مثال جزوس ، تایم کلاساشون کوتاهه و خیالتون هم از بابت نمره راحته
11,4.333333333333333,  اکثریتو به بهونه های الکی میندازه امتحانشم شدیدا سخت و خارج از جزوس
12,2.8333333333333335, اصلا باهاش برندارید یا ۸ میده یا ۱۰ خیلی بد نمرس اخره ترم میفهمید چی میگم
13,5.5, برندارید باهاش امتنانش خیلی سخته
14,10.0, عالی بهترین استاد
15,10.0, باهاش بردارید خیلی استاده گلیه
16,10.0, خیلی خوبه حتما بردارید باهاش
17,5.666666666666667, بدک نیست
18,10.0, عالی
19,9.333333333333334, استاد بسیار خوبی هستن. هر هفته تمرین میدن که باید ایمیل کنیم و پروژه تعریف میکنن که باید انجام بدیم و سر کلاس ارائه بدیم.
20,3.1666666666666665, پیشنهادم اینه که تا میتونید با این استاد برندارین وگرنه مثل من پشیمون میشید
21,4.833333333333333, در کلاس هم فایل صوتی که قبلا ضبط کردن رو پلی میکنن و خودشون چندان صحبتی نمیکنن
22,8.833333333333334, در کل استاد خوبین. و اینکه چون فاصله سنی کمی با دانشجویان دارند دانشجو را درک میکنند.
23,1.6666666666666667, کلا سخت گیره و تکلیف خیلی میده مثل ابتدایی باید از روی کتاب بنویسی 
24,10.0, عالین
25,9.333333333333334, در کل استاد عالی هستن
26,1.0, تدریس ندارند، کارکلاسی و منبع امتحان ارائه کلاسی است که اجباریست و اصلا به موضوع درسی ربطی ندارد.گاهی با لحن تندی صحبت میکنند.
27,6.166666666666667, دانشجویان ارائه کلاسی میدهند و ایشان گاهی تدریس مختصری ;کنند منبع امتحان همین ارائه هاست. برای پاس کردن خوبه ولی برای یادگیری درس نه.
28,9.666666666666666, رشته علوم و صنایع غذایی 
29,8.833333333333334, ۳،۴ نمره پایین تر از چیزی که فکر میکنی نمره میده اخر ترم 
30,9.833333333333334, عالی ترین هستن ایشون
31,10.0, استاد خیلی خیلی خوبی هستن و تسلط کافی رو درس دارن پیشنهاد میشه حتما هر درسی ارائه دادن بردارید .
32,9.0, استاد خوبیه ولی رو تجارت ۲ یکم سخت گیره
33,1.0, خیلی ***
34,1.0, باهاشون اصلا بحث نکنین چون حذفتون میکنه
35,5.666666666666667, برندارید که افتادید با نمره بد
36,1.0,  بد
37,3.6666666666666665, نمره دهی به صورت کاملا رندوم
38,9.666666666666666, استاد بسيار دانايي هستند ولي متاسفانه وضعيت نمره دادن در اين ترم بسيار شانسي بود و حتي شايد برگه اي هم صحيح نشد و نمره وارد شد
39,10.0, باسوادوفن بیان عالی
40,2.6666666666666665, توصیه میکنم اصلا با ایشون برندارید از نمره‌ی واقعیتون حداقل سه نمره کم میکنن. من ۲۰ میشدم ولی ۱۷دادن
41,3.6666666666666665, ايشون کرامت انسانی و شان دانشگاهي رو رعايت نمي كنند...
42,10.0, حتماً با ايشون كلاس برداريد.
43,10.0, کلاساشون پر انرژیه. در طول ترم سوالات اضافه می‌پرسند و + نیم نمره ای میدن، امتحان رو هم خیلی راحت میگیرن.
44,9.833333333333334, علم استاد خیلی بالاست. از اون استاد هایی هستند که واقعا ازشون میشه چیز های زیادی یاد گرفت.
45,9.5, برای امتحان نمونه سوال میدن که کافیه. حضور اجباریه ولی اگر غیبت داشتید میتونید در سایت نهاد یک جلسه بگذرونید تا غیبت جبران شه
46,9.166666666666666, استاد کیا، استاد بسیار خوبی هستند پیشنهاد میکنم هر درسی که ارائه دادند با ایشون بردارید.
47,10.0, استاد عالی هستن و خیلی با سواد و منطقی و مهربان
48,10.0, استاد خیلی باسواد و عالم و خوش برخورد و مهربان ، از نظر علمی بالاتر از ایشون هیچکس نیست ، از نظر ادب و اخلاق بهترین هستن
49,10.0, از نظر علمی خیلی باسواد و از نظر اخلاق یه ذره تند و خشن 
50,10.0, استاد بسیار با سواد و خوش اخلاق و رفتار 
51,10.0, استاد خیلی مهربان و با صفا 
52,8.166666666666666, تکالیف و پرسش هایی که می پرسن اگه خوب جواب بدی و منظم سرکلاس حضور داشته باشی و فعالیت خوبی داشته باشی می تونی نمره خوبی بگیری
53,10.0, یکی از بهترین و محترم ترین اساتید این دانشگاه هستن ایشون و از کلاس برداشتن باهاشون پشیمون نمیشید
54,8.333333333333334, استاد خوبیهستن فقط اذیتشون نکنید سرکلاس چون لج کنن باهات حافظه خوبی دارن و در طول ترم حسابی اذیت میکنن😂
55,1.0, توصیه میکنم هیچ وقت باهاش برندارید
56,6.333333333333333, در کل استادیه که با کارای خودت کلاس میره جلو.سوالیم بیرون کلاس ازش نمیتونی بپرسی چون هیچ شماره ای نمیده بهت.در کل زیاد توصیه نمیکنمش.
57,2.1666666666666665, بین بچه ها به شدت فرق میزارن 
58,7.333333333333333, سخت گیرن تقریبا
59,2.8333333333333335, ایشون متاسفانه چندین جلسه به کلاس نیومدن و سوالات امتحانی که دادن سخت بود.
60,10.0, عالی و درجه یک 👏🏻 با اخلاق ، پاسخگو ، مسلط به مبحث و ...
61,10.0, استاد ملک نجاد فوق العاده استاد دلسوزی هستن تو این شرایط ک کلاسا مجازی هست زیاد دانشجورو اذیت نمیکنن صد درصد توصیه میکنم باهاشون بردارید
62,8.666666666666666, خیلی استاد سختگیریه ترجیحا با ی استاد دیگه کلاس بردارید
63,9.5, امتحانش از ۲۰ نمره هستش و هیچ ارفاقی نداره حتی ۲۵ صدم
64,10.0, عالیه بردارید باهاش .
65,10.0, عالیه
66,10.0, پرسش کلاسی داره هر جلسه ولی کلا سخت گیر نیس جهت کمک به دانشجو هستش .بردارید حتما باهاش
67,10.0, استاد خیلی خوبیه بردارید
68,5.5, ایشون اصلا به کلاس اهمیت نمیدن. بچه ها به نوبت باید ارائه بدن. ایشون نه نکته ای میگن نه درسی میدن. انگار نیستن اصن تو کلاس.
69,2.5, بر ندارین 
70,4.666666666666667, یکی درمیون ۸ و ۱۰ میدن
71,10.0, بسیار استاد خوب و مهربونی هستن
72,10.0, بسیار استاد خوبی هستن حتما باهاشون بردارین
73,10.0, هر چی از خوبیای این استاد بگم کم گفتم 
74,9.333333333333334, خیلی استاد خوب و باسوادی هستن
75,6.666666666666667, شاید کلاسای حضوریشون بهتر باشه ولی من از کلاس مجازیشون اصلا راضی نبودم.
76,10.0, در کل استاد خوبی هستند و خوش برخورد و محترم اما به حضور غیاب مقداری حساس اما با دانشجو راه میان تا جایی که امکان داشته باشه
77,10.0, استاد خیلی خوبی هستن،اگر سطح زبانتون خوبه و فعالیتتون سر کلاس زیاده بردارین باهاشون،در غیر این صورت برندارین
78,9.166666666666666, استاد سخت گیری هستن،و فعالیت زیاد ازتون میخوان،نمره هم خیلی سخت میدن،اگر حوصله درس خوندن ندارید، برندارید
79,8.333333333333334, اول فکر میکنید خیلی سخت گیر هستن،اما دست و دل باز نمره میدن، امتحانشون هم از کتابه و سخت نیست
80,10.0, به شدت استاد باشخصیتی هستن به نظرم اگه میخواین نمره خوبی بگیرم حتمااااا با ایشون بردارین خیلی ماهن🥰🌹
81,9.666666666666666, متعهد، با مسئولیت، دلسوز و خوش برخورد بودن. هر مطلب رو چند بار تکرار میکردن. فقط باید فعالیت داشته باشید چون مهمه براشون
82,4.833333333333333, اگر باهاش کلاس برمیدارین باید سر کلاس کاملاااا حواس جمع باشین وگرنه میفتین
83,3.3333333333333335, به شدت امتحانشون رو سخت میگیرن و خیلی شلخته کلاس هاشون رو برگزار میکنن جواب پیام های دانشجو رو هم نمیدن ترجیحا باهاشون برندارین .
84,1.0, ***بر ندارید آقا بر ندارید
85,6.666666666666667, استاد خیلی مهربونی هستند و بسیار راحت نمره میدن و با بچه ها راه میان اما اگه کسی میخواد زبانش پیشرفت کنه برنداره چون لهجشون اصلا خوب نیست.
86,1.0, کتابی معرفی می کنه که دیگه چاپ نمیشه و حتی ازش pdf یا اسکن هم نمیده 
87,3.3333333333333335, تا میتوانید با ایشون درس برندارید چون حتی اگه دانشجوی خوبم باشین ایشون به شما نمره خیلی خیلی پایینی میدن و اصلا نمره الف به کسی نمیدن😔
88,9.166666666666666, استاد شهری  آنچنان سخت گیر نیستند
89,3.0, به هیچ وجه پیشنهاد نمیکنم با این استاد درسی رو بردارید
90,9.166666666666666, کار عملی داره 
91,9.833333333333334, نمره امتحان از ۱۰ نمره بود ۱۰ نمره بقیش حضور + فعالیت کلاسی 
92,10.0, جاهای مهم امتحان مشخص میکنن خیلی راه میان با دانشجو حتمااا بردارید
93,10.0, با این استاد دیدتون نسبت به اطرافتون کلی تغییر میکنه. عشق ترین استادی که داشتم
94,10.0, من باهاشون مجاری داشتم خیلی مهربون بودن. 10 الی 13 نمره کلاسی بود اگه کارایی که میگن بکنید نمره خودتون میگیرید
95,1.6666666666666667, *** فقط توصیه میکنم اصلاااا حتی اگر مجبور بودید انتخابشون نکنید
96,9.0, همونطور که گفتم حضور خیلی مهمه، البته برای ما که مجازی بود آخر ترم گفتن شنا بزنید فیلم بگیرید بفرستید😐 ولی خوب نمره دادن.
